kolejnosc_modelu,kod_modelu,model,process_id,obszar,nazwa_procesu,status,klasa_zrodlowa,warunek_wystapienia,podstawa_statusu
1,T5,Sklep niezależny,ORPR-PRC-01,Zakupy i płatności dla dostawców,Od zapotrzebowania do zamówienia,WYSTĘPUJE,WYMAGANE,firma nabywa towar lub usługi od podmiotu zewnętrznego,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-PRC-02,Zakupy i płatności dla dostawców,Od dokumentu dostawy do przyjęcia,WYSTĘPUJE,WYMAGANE,"firma odpowiada za sprawdzenie, co dostawca faktycznie wykonał",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-PRC-03,Zakupy i płatności dla dostawców,Od faktury do zobowiązania,WYSTĘPUJE,WYMAGANE,firma otrzymuje od dostawcy żądanie zapłaty wymagające weryfikacji,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-FIN-04,Zakupy i płatności dla dostawców,Od zobowiązania do zapłaty,WYSTĘPUJE,WYMAGANE,firma ma wymagalne zobowiązanie pieniężne wobec dostawcy,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-PRC-04,Zakupy i płatności dla dostawców,Od warunków handlowych do rozliczenia korzyści pozafakturowych,OPCJONALNY,ZAKRES,"umowa z dostawcą wiąże korzyść pozafakturową z wolumenem, świadczeniem, bonusem albo innym uzgodnionym warunkiem",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-DEM-01,Planowanie i dostępność,Od popytu do zapotrzebowania netto,WYSTĘPUJE,WYMAGANE,"firma decyduje z wyprzedzeniem, ile towaru zamówić",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-DEM-02,Planowanie i dostępność,Od zapotrzebowania do zakupu (ścieżka ręczna),OPCJONALNY,NIEPRZYPISANE,zapotrzebowanie netto wymaga decyzji człowieka przed zwolnieniem do zakupu,decyzja właściciela ORPR z 2026-09-04: proces opcjonalny we wszystkich sześciu modelach
1,T5,Sklep niezależny,ORPR-DEM-03,Planowanie i dostępność,Od sygnału popytu do prognozy,NIE_WYSTĘPUJE,NIEDOP-OBOW,firma szacuje przyszły popyt zamiast reagować wyłącznie na bieżące braki,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-DEM-04,Planowanie i dostępność,Od ograniczeń do alokacji,NIE_WYSTĘPUJE,NIEDOP-OBOW,ograniczona podaż jest rozdzielana między więcej niż jedną lokalizację przez wspólnego decydenta,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-DEM-05,Planowanie i dostępność,Od stanu zapasu do obiecywalnej dostępności,OPCJONALNY,ZAKRES,"firma zobowiązuje się wobec klienta co do dostępności, zanim przyjmie jego zamówienie",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-CAT-01,Oferta handlowa,Od pozycji do dopuszczenia do sprzedaży,WYSTĘPUJE,WYMAGANE,"firma decyduje, które pozycje wolno sprzedawać, i musi to potwierdzić danymi",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-CAT-02,Oferta handlowa,Od ceny do kasy,WYSTĘPUJE,WYMAGANE,"pozycja ma cenę, którą firma zamierza pobrać od klienta",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-CAT-03,Oferta handlowa,Od promocji do kasy,OPCJONALNY,ZAKRES,firma stosuje czasowe odstępstwa od ceny podstawowej,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-CAT-04,Oferta handlowa,Od akcji handlowej do efektu,NIE_WYSTĘPUJE,NIEDOP-OBOW,firma mierzy skutek zakończonej akcji handlowej,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-SAL-01,Realizacja sprzedaży,Od koszyka do sprzedaży,WYSTĘPUJE,WYMAGANE,firma sprzedaje klientowi we własnym imieniu i na własny rachunek,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-SAL-02,Realizacja sprzedaży,Od sprzedaży do dokumentu fiskalnego,WYSTĘPUJE,WYMAGANE,"sprzedaż wymaga ustalenia sposobu jej udokumentowania wobec organu, w tym możliwego zwolnienia",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-SAL-03,Realizacja sprzedaży,Od sprzedaży do wydania towaru,WYSTĘPUJE,WYMAGANE,sprzedany towar z `ONHAND` pod pieczą organizacji wymaga fizycznego przekazania klientowi,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-PAY-01,Płatności klientów,Od kwoty do formy płatności,OPCJONALNY,ZAKRES,firma przyjmuje od klienta zapłatę w więcej niż jeden sposób albo dzieloną,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-PAY-02,Płatności klientów,Od autoryzacji do przechwycenia,OPCJONALNY,ZAKRES,zapłata wymaga potwierdzenia przez zewnętrznego operatora zanim stanie się skuteczna,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-PAY-03,Płatności klientów,Od przechwyconych płatności do rozliczenia partii z operatorem,OPCJONALNY,ZAKRES,pieniądze wpływają do firmy za pośrednictwem operatora rozliczającego wiele transakcji,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-RTN-01,Zwroty,Od sprzedaży do anulowania,WYSTĘPUJE,WYMAGANE,klient rezygnuje z zakupu zanim towar zostanie wydany,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-RTN-02,Zwroty,Od sprzedaży do zwrotu,WYSTĘPUJE,WYMAGANE,"sprawa zwrotu powstaje po zakończeniu procesu wydania/dostawy towaru — niezależnie od tego, czy klient faktycznie odebrał przesyłkę (otrzymanie, odmowa przyjęcia, nieodebranie)",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-RTN-03,Zwroty,Od zwrotu do zwrotu środków,WYSTĘPUJE,WYMAGANE,uznany zwrot rodzi obowiązek oddania pieniędzy klientowi,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-RTN-04,Zwroty,Od zwrotu do rozdysponowania,WYSTĘPUJE,WYMAGANE,"zwrócony towar fizycznie wraca do firmy i wymaga decyzji, co z nim dalej",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-ORD-01,Sprzedaż internetowa i na odległość,Od złożonego zamówienia zdalnego do przyjętego zamówienia klienta,OPCJONALNY,ZAKRES,"klient składa zamówienie bez osobistej obecności, a firma przed dalszą realizacją musi je przyjąć i potwierdzić",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-DLV-01,Sprzedaż internetowa i na odległość,Od przesyłki gotowej do ostatniej mili do potwierdzonego wyniku dostawy,OPCJONALNY,ZAKRES,firma odpowiada wobec klienta za organizację albo monitorowanie dostawy od punktu rozpoczęcia ostatniej mili,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-SVC-01,Obsługa klienta i reklamacje,Od zgłoszonej sprawy klienta do przekazanego rozstrzygnięcia,WYSTĘPUJE,WYMAGANE,"firma otrzymuje sprawę klienta wymagającą ustalenia faktów, podjęcia rozstrzygnięcia i przekazania go klientowi",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-INV-01,Zapas,Od przyjęcia do dostępności,WYSTĘPUJE,WYMAGANE,firma odpowiada za stan towaru od momentu jego fizycznego otrzymania albo fizycznego zwrotu,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-INV-02,Zapas,Od transferu do przyjęcia,NIE_WYSTĘPUJE,NIEDOP-OBOW,towar jest przemieszczany między lokalizacjami należącymi do tego samego uczestnika lub sieci,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-INV-03,Zapas,Od inwentaryzacji do korekty,WYSTĘPUJE,WYMAGANE,firma okresowo porównuje stan zapisany z rzeczywistym albo INV-08 klasyfikuje transfer do korekty ewidencyjnej,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-INV-04,Zapas,Od straty do odpisu,WYSTĘPUJE,WYMAGANE,"firma ponosi ubytki towaru, które trzeba zdjąć ze stanu i z księgi, albo INV-08 potwierdza stratę transferową",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-INV-07,Zapas,Od przyjętego zamówienia do rezerwacji zapasu,NIE_WYSTĘPUJE,NIEDOP-OBOW,firma zobowiązuje się wobec klienta wobec konkretnych sztuk zanim je wyda,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-INV-08,Zapas,Od rozbieżności przesunięcia do uzgodnienia,NIE_WYSTĘPUJE,NIEDOP-OBOW,transfer ma zarejestrowaną ilość wydaną i wymaga porównania z ilością przyjętą albo jawnej oceny braku przyjęcia,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-INV-09,Zapas,Od zdarzeń zapasowych do wiarygodnego stanu,WYSTĘPUJE,WYMAGANE,"firma prowadzi własny zapas, na którym opiera decyzje handlowe i zobowiązania wobec klienta",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-FIN-01,Księgowość,Od sprzedaży do księgi,WYSTĘPUJE,WYMAGANE,na firmie ciąży obowiązek udokumentowania i rozliczenia zdarzeń gospodarczych,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-FIN-02,Księgowość,Od zapasu do kosztu własnego,WYSTĘPUJE,WYMAGANE,wynik firmy zależy od kosztu sprzedanego towaru,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-FIN-03,Księgowość,Od podatku do zobowiązania,WYSTĘPUJE,WYMAGANE,działalność firmy rodzi zobowiązania podatkowe wymagające wyceny i deklaracji,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-CSH-01,Rozliczanie kas i utargu,Od otwarcia do zamknięcia kasy,WYSTĘPUJE,WYMAGANE,firma przyjmuje od klientów gotówkę w punkcie sprzedaży,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-CSH-02,Rozliczanie kas i utargu,Od gotówki do wpłaty,WYSTĘPUJE,WYMAGANE,zgromadzona gotówka musi opuścić lokalizację,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-CSH-03,Rozliczanie kas i utargu,Od przechwyconych płatności kartą do uzgodnienia wpływów dnia,WYSTĘPUJE,WYMAGANE,firma przyjmuje płatności kartą na terminalu w punkcie sprzedaży,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-CSH-04,Rozliczanie kas i utargu,Od rozliczenia do banku,WYSTĘPUJE,WYMAGANE,wpływy firmy przechodzą przez rachunek bankowy wymagający uzgodnienia,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-CTL-01,Kontrola i zgodność,Od transakcji do uzgodnienia,WYSTĘPUJE,WYMAGANE,między operacyjnym a księgowym zapisem tego samego zdarzenia sprzedaży powstaje rozbieżność wymagająca rozstrzygnięcia,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-CTL-02,Kontrola i zgodność,Od wyjątku do rozwiązania,OPCJONALNY,ZAKRES,ktoś zgłasza naruszenie zasady albo wymagania obowiązującego firmę,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-CTL-03,Kontrola i zgodność,Od zdarzenia do audytu,OPCJONALNY,ZAKRES,"firma musi udowodnić po czasie, co i kiedy się wydarzyło",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-CTL-04,Kontrola i zgodność,Od planu kontroli do zarejestrowanej niezgodności,OPCJONALNY,ZAKRES,"firma sama sprawdza przestrzeganie obowiązujących ją zasad i wymagań, nie czekając na cudze zgłoszenie",warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-SUP-01,Zarządzanie asortymentem i dostawcami,Od potrzeby pozyskania do warunków handlowych,WYSTĘPUJE,WYMAGANE,firma potrzebuje pozyskać dostawcę albo ponownie uzgodnić warunki zakupu,warstwa modeli operacyjnych ORPR
1,T5,Sklep niezależny,ORPR-AST-01,Zarządzanie asortymentem i dostawcami,Od potrzeby zmiany asortymentu do decyzji i danych produktu,WYSTĘPUJE,WYMAGANE,"firma podejmuje decyzję o wprowadzeniu, utrzymaniu albo wycofaniu pozycji z asortymentu",warstwa modeli operacyjnych ORPR
